Created Date,Closed Date,Location Type,Incident Zip,City,Borough,Latitude,Longitude
12/31/15 1:23,12/31/15 7:04,Residential Building/House,10472,BRONX,BRONX,40.83410524,-73.87499411
12/31/15 1:25,12/31/15 5:01,Residential Building/House,10469,BRONX,BRONX,40.86992445,-73.85459224
12/31/15 1:25,12/31/15 2:03,Residential Building/House,11233,BROOKLYN,BROOKLYN,40.68013115,-73.91121396
12/31/15 1:25,12/31/15 2:58,Residential Building/House,11213,BROOKLYN,BROOKLYN,40.66785694,-73.93199346
12/31/15 1:27,12/31/15 3:50,Street/Sidewalk,10034,NEW YORK,MANHATTAN,40.86688219,-73.92536517
12/31/15 1:27,12/31/15 2:58,Residential Building/House,11213,BROOKLYN,BROOKLYN,40.66785694,-73.93199346
12/31/15 1:28,12/31/15 3:38,Street/Sidewalk,10032,NEW YORK,MANHATTAN,40.83805814,-73.94664023
12/31/15 1:30,12/31/15 2:52,Club/Bar/Restaurant,11221,BROOKLYN,BROOKLYN,40.68970483,-73.91852118
12/31/15 1:33,12/31/15 10:07,Residential Building/House,10451,BRONX,BRONX,40.82673983,-73.91589271
12/31/15 1:34,12/31/15 2:59,Residential Building/House,11213,BROOKLYN,BROOKLYN,40.66785694,-73.93199346
12/31/15 1:37,12/31/15 2:59,Residential Building/House,11213,BROOKLYN,BROOKLYN,40.66785694,-73.93199346
12/31/15 1:38,12/31/15 2:53,Residential Building/House,11433,JAMAICA,QUEENS,40.70371428,-73.78751744
12/31/15 1:38,12/31/15 3:50,Store/Commercial,10040,NEW YORK,MANHATTAN,40.85932419,-73.93123734
12/31/15 1:40,12/31/15 4:14,Residential Building/House,10461,BRONX,BRONX,40.84657157,-73.82982678
12/31/15 1:41,12/31/15 2:52,Residential Building/House,11207,BROOKLYN,BROOKLYN,40.68584422,-73.90923404
12/31/15 1:43,12/31/15 2:24,Residential Building/House,10456,BRONX,BRONX,40.82983679,-73.90640699
12/31/15 1:43,12/31/15 2:25,Residential Building/House,10031,NEW YORK,MANHATTAN,40.82300792,-73.95067009
12/31/15 1:44,12/31/15 6:22,Store/Commercial,10036,NEW YORK,MANHATTAN,40.76253541,-73.99336512
12/31/15 1:46,12/31/15 2:59,Residential Building/House,11213,BROOKLYN,BROOKLYN,40.66785694,-73.93199346
12/31/15 1:47,12/31/15 3:23,Residential Building/House,10467,BRONX,BRONX,40.85874768,-73.86562454
12/31/15 1:48,12/31/15 15:26,Residential Building/House,11208,BROOKLYN,BROOKLYN,40.66640231,-73.86872994
12/31/15 1:50,12/31/15 6:07,Residential Building/House,10314,STATEN ISLAND,STATEN ISLAND,40.61699491,-74.15637229
12/31/15 1:50,12/31/15 2:52,Residential Building/House,11433,JAMAICA,QUEENS,40.70371428,-73.78751744
12/31/15 1:55,12/31/15 3:50,Club/Bar/Restaurant,10040,NEW YORK,MANHATTAN,40.85932419,-73.93123734
12/31/15 1:56,12/31/15 2:39,Residential Building/House,10002,NEW YORK,MANHATTAN,40.71046387,-73.98465574
12/31/15 1:59,12/31/15 5:34,Store/Commercial,10002,NEW YORK,MANHATTAN,40.71047784,-73.98657107
12/31/15 2:01,12/31/15 3:27,Residential Building/House,10033,NEW YORK,MANHATTAN,40.84689342,-73.9359923
12/31/15 2:02,12/31/15 4:51,Residential Building/House,11221,BROOKLYN,BROOKLYN,40.6892663,-73.93701984
12/31/15 2:03,12/31/15 4:25,Residential Building/House,10039,NEW YORK,MANHATTAN,40.82376379,-73.94125363
12/31/15 2:06,12/31/15 2:17,Residential Building/House,10025,NEW YORK,MANHATTAN,40.79694199,-73.96827479
12/31/15 2:08,12/31/15 6:22,Residential Building/House,10036,NEW YORK,MANHATTAN,40.76226084,-73.99188151
12/31/15 2:10,12/31/15 2:42,Street/Sidewalk,10463,BRONX,BRONX,40.87984433,-73.90523365
12/31/15 2:15,12/31/15 5:55,Residential Building/House,10460,BRONX,BRONX,40.84110525,-73.88112132
12/31/15 2:17,12/31/15 3:58,Store/Commercial,10009,NEW YORK,MANHATTAN,40.72553423,-73.97780461
12/31/15 2:24,12/31/15 3:40,Residential Building/House,11221,BROOKLYN,BROOKLYN,40.69190889,-73.91853652
12/31/15 2:27,12/31/15 15:20,Residential Building/House,10025,NEW YORK,MANHATTAN,40.79694199,-73.96827479
